FID,uuid,gmtco_point,detected_at,ti4,ti5,scan,track,frp,day_night,confidence,created_at,updated_at
nasa_fire.47433727,34bf3b50-d406-7679-af07-325a658df878,POINT (-105.15924 37.44817),2018-07-02T08:42:00,295.5,283.4,0.4,0.37,1,night,,2018-07-02T12:45:19.814,2018-07-02T12:45:19.814
nasa_fire.47433726,c496b76f-b088-afff-ecc6-4650d2b3b0c0,POINT (-105.17265 37.4501),2018-07-02T08:42:00,296,275.4,0.4,0.37,0.7,night,,2018-07-02T12:45:19.808,2018-07-02T12:45:19.808
nasa_fire.47433719,7709449a-4218-684c-9a32-88afa2dcc40b,POINT (-105.13469 37.44637),2018-07-02T08:42:00,309.2,290.7,0.4,0.37,1,night,,2018-07-02T12:45:19.757,2018-07-02T12:45:19.757
nasa_fire.47433718,17be5137-c944-e881-fbfb-b00e0a6bf9de,POINT (-105.13909 37.447),2018-07-02T08:42:00,305.6,289.3,0.4,0.37,1,night,,2018-07-02T12:45:19.751,2018-07-02T12:45:19.751
nasa_fire.47433717,45e1abba-6f56-6f6d-02c5-cfb14305dede,POINT (-105.14341 37.44762),2018-07-02T08:42:00,315.6,289.3,0.4,0.37,1.5,night,,2018-07-02T12:45:19.745,2018-07-02T12:45:19.745
nasa_fire.47433716,859bc8b3-ce28-5198-403a-dd82c74fe574,POINT (-105.14776 37.44824),2018-07-02T08:42:00,309,288.6,0.4,0.37,1.5,night,,2018-07-02T12:45:19.739,2018-07-02T12:45:19.739
nasa_fire.47433715,76ef0317-24f4-7431-835e-01bf30e78d85,POINT (-105.15214 37.44887),2018-07-02T08:42:00,297.3,282.5,0.4,0.37,0.8,night,,2018-07-02T12:45:19.733,2018-07-02T12:45:19.733
nasa_fire.47433708,37e131af-65bd-030c-0425-9c96d4561eee,POINT (-105.13402 37.44971),2018-07-02T08:42:00,307.8,290.8,0.4,0.37,1,night,,2018-07-02T12:45:19.689,2018-07-02T12:45:19.69
nasa_fire.47433707,9f2d9f01-2447-1bad-079e-ab468de507aa,POINT (-105.1384 37.45034),2018-07-02T08:42:00,300.6,287.6,0.4,0.37,1,night,,2018-07-02T12:45:19.683,2018-07-02T12:45:19.684
nasa_fire.47433706,e7fbde06-3b87-747f-5d4d-d312b796cd2c,POINT (-105.14275 37.45096),2018-07-02T08:42:00,312.9,290.1,0.4,0.37,1.5,night,,2018-07-02T12:45:19.677,2018-07-02T12:45:19.678
